,name,naver_star_point,naver_blog_review_txt
7001,코코코,null,null
7002,코코크롱,null,null
7008,코코푸드,null,null
7009,코코프레쉬,null,null
7025,코코호도,4.37,"지금은 육아휴직중이예요. 오랜만에 회사를 놀러가네요. 10년동안 일해왔던 회사라 회사가는길은 설레여요. 일할때 간식 사오는 사람이 제일 좋아하던시절이있었죠. 그래서 저도 회사를 놀러갈때면 갈때마다 이색적인...,송천동맛집,연탄불고기가와 김밥의 조화~오원집 송천점! 송천동맛집 오원집!!!!집 앞에 바로 오원집이 생겨서어찌나 좋던징ㅋㅋㅋㅋㅋ(술마셔도 부담없음ㅋㅋㅋㅋ) 오픈하고 가야지가야지 하다가드디어 다녀왔네용 ㅋ_ㅋ...,안녕하세요~ 가끔씩 팥이 땡기거나 호두과자가 땡기면 찾게되는 곳이에요! 영업시간은 9:00~22:00 입니다. 입구입니다. 선물용 호두과자도 팔구요~ 가격표 입니다. 저는 주로 간식용 호두과자 3000원(12)개를 사가는...,송천동 오원집 다녀왔어요:) 귀윤님과 요즘 셀프 인테리어로 정신 없는 하루를 보내고 있어요. 결혼준비가 어찌나 바쁜지... 한달이 하루처럼 지나갔네요. 오랜만에 귀윤님과 막걸리한잔 하기 위해 송천동 오원집에...,맛있는 간식으로 호두과자 맛있어요 오늘은 중3학년들의 고입선발고사가 있는 날이에요 울 둘째 딸이 중3인데 원래는 이른 아침 시험장에 가야 하는데,, 이미 특성화고등학교로 진학이 확정되어 집에서 쉬고..."
7055,코코호도,4.42,2018년 11월 7일 코코호도 경남 창원시 마산합포구 해안대로 11 (해운동 63) 055-221-5001
7066,코코호도,4.41,"#안양코코호도 #호도과자 #답례품추천 안녕하세요. 팡승이에요. :D 기프티콘이 없던 시절 저는 답례할 일이 있으면 꼭 코코호도를 구입해서 드렸어요. 선물포장도 가능하고 맛도 건강에도 좋은 간식으로 남녀노소 좋아하는...,안녕하세용 저 지금 너무 행복해요ㅋㅋㅋㅋㅋ왜냐구여? 신랑이 코코호도를 사왔기 때문이죠~~ 제가 호두과자 아니 빵 탄수화물 자체를 좋아해서 이런거 보면 또 심장이 듀근두근ㅋㅋㅋㅋ ㅠㅠ 그럼 한번 살펴보도록..."
7080,코코호도,4.39,"호평동 코코호도 / 코코호두 호평동 간식 동네 호평동에 오래전부터 있던 코코호도 평내호평점 입니다 :) 친정 갈때 남편이가 할머니 사다 드리자고 해서 오랜만에 들렸었어요. 꽤나 오래 자리하고 있는거 보니깐 손님이...,안녕하세요 서울리온치과입니다 모두 행복한 하루 보내고 계시나요? 오늘은 치과에 다니시는 김O은님께서 저희를 위해 코코호도를 선물해 주셨어요!! 코코호도는 2003년 설립하여 많은 분들의 사랑을 받고 있죠...,안녕하세요 서울리온치과입니다 :) 이 정도면 코코호도 호평점의 사랑을 좀 받아도 되겠죠? 치과에 다니시는 채O선님께서 저희를 위해 코코호도를 선물해 주셨어요! 먹어도...,호두과자보관법 호두과자칼로리 코코호도 지인분께서 선물로 주신 코코호도 호두과자를 먹다가 한번에 다 먹을수없기에 어떡하면 호두과자를 처음맛 그대로 보관해두었다 먹을수있을까 궁금해져 호두과자 보관법에 대해...,호평동에도 코코호도가 있어요. #호평동코코호도 큰아들이 좋아해서 가끔 사먹어요. 아침 일찍 가면 그전날 만든걸 20프로 싸게 살 수 있어요. 사무실에 갖다놓고 하나하나 까먹다보면 아차합니다. 칼로리가 높거든요 ㅋ..."
7083,코코호도,4.38,"결혼식이 끝났고.... 신혼여행도 끝!!!!!!!! 이젠 진정 현실복귀이다ㅋㅋㅋㅋㅋㅋ 진짜 인천공항 도착하고 짐 찾고 차로 집 가는 길에 코코호도로 전화! 떡을 할까 쿠키를 할까 호도과자를 할까 굉장히 많은 고민을 했었다...,안녕하세용 김포사우동에도 맘스터치가생겼어요!♡ 북적북적 하네용 코코호도있던자리 씽크빅옆! 완전좋아요매장이 그리 큰편은 아니지만 앉아서 먹을 공간은 열자리정도?? 있습니다!ㅎㅎ 대표메뉴는 싸이버거!..."
7084,코코호도,4.42,고고라니 뭔 영화를 보겠다고 고고겠는가 교회 아이들 인솔해서 날아온 서울랜드 누구 인솔할땐 실수 발생 영등포구청에서 갈아타야하는데 영등포시장 ㅡㅡ;;; 시간이 생명인 놀이동산엘 ㅠㅠ 그래도 새벽에 비가...
